[398455000] ID:172 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc68fce1fdbafc99fcb9fcc1
[398465000] ID:173 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc58fcf1fe0afc78fc99fc99
[398475000] ID:174 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc50fd01fe32fc70fc91fca1
[398485000] ID:175 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc58fd09fe32fc81fc99fcb9
[398495000] ID:176 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc68fcf1fe02fca9fcc9fcf1
[398505000] ID:177 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc50fcb9fd71fca9fcd9fd01
[398515000] ID:178 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc28fca1fd31fc91fcc1fce1
[398525000] ID:179 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc50fcc1fdaafca9fcd9fcf1
[398535000] ID:180 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc89fd31fe6afca9fcd9fcf1
[398545000] ID:181 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc68fd11fe52fce1fd09fd21
[398555000] ID:182 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc50fcf1fe3afd19fd31fd59
[398565000] ID:183 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc81fd41fea3fd09fd21fd49
[398575000] ID:184 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc58fd19fe62fd01fd29fd49
[398585000] ID:185 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc60fd29fe6afd39fd69fd8a
[398595000] ID:186 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc81fd51feb3fd69fd9afdc2
[398605000] ID:187 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc99fd8afedbfd51fd79fdaa
[398615000] ID:188 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc70fd49fe7afd21fd41fd71
[398625000] ID:189 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc48fd29fe72fd29fd49fd71
[398635000] ID:190 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc91fd92fefbfd31fd49fd69
[398645000] ID:191 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fcb9fda2ff13fd31fd41fd61
[398655000] ID:192 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc91fdaaff13fd19fd29fd49
[398665000] ID:193 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fcd1fdfaff84fd11fd29fd41
[398675000] ID:194 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc89fdcaff63fd01fd29fd39
[398685000] ID:195 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fcb1fe0aff9cfce9fd09fd11
[398695000] ID:196 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc60fd8aff13fcf1fd09fd11
[398705000] ID:197 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc81fd82ff03fce1fcf1fd01
[398715000] ID:198 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc81fd79ff03fcd1fce1fcf1
[398725000] ID:199 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc70fd82ff1bfcd9fcf1fd09
[398735000] ID:200 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc78fdb2ff53fcf9fd11fd21
[398745000] ID:201 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fca1fe12ffbcfd39fd59fd79
[398755000] ID:202 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fd21fec30064fd51fd71fdaa
[398765000] ID:203 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fd59ff2b00bdfd49fd79fdb2
[398775000] ID:204 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fd82ff3b00bdfd31fd61fd82
[398785000] ID:205 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fcc1fe22ff9cfd09fd31fd41
